S.No,Mpn,Label,Url,"	Upc",Grainger_Sku,Entity Id,L3_Name,L3_Entity_ID,Product_title,Item_Name,item_ID,Parent_name,Parent_Name_Id,Accessories,Kits/Components,Spare_Parts,Product_Detail,"Uses	Features",Working_Mechanism,Standards_and_Approvals,Installation,Image_Name,image,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Video_Url,Datasheet,Shipping_info,Shipping_length,Shipping_height,Shipping_width,weight(lb),Quantity,Price(usd),Discount(%),Country_of_Origin,Cross_Reference,Url,Remarks,
,,,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-black-2-x-36-self-fusing-silicone-tape,,, ,"Home›Black Self-Fusing Silicone Tape›Black 2"" x 36' Self-Fusing Silicone Tape", ,"Black 2"" x 36' Self-Fusing Silicone Tape", , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-bonding tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.Black2"" wide x 36' long at 0.03"" thicknessImpervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/black-2x36-er-tape-no-packaging_1024x1024.jpg?v=1459180338, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$22.95 , , , ,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-black-2-x-36-self-fusing-silicone-tape, , 
,,,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-black-1-x-36-self-fusing-silicone-tape-1,,, ,"Home›Black Self-Fusing Silicone Tape›Black & Blue 1"" x 36' Self-Fusing Silicone Tape", ,"Black & Blue 1"" x 36' Self-Fusing Silicone Tape", , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-bonding tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.Black with blue pinstripping running through the center1"" wide x 36' long at 0.02"" thicknessImpervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/black-and-bluck-1x36-self-fusing-silicone-rubber-tape_1024x1024.jpg?v=1459192743, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$13.95 , , , ,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-black-1-x-36-self-fusing-silicone-tape-1, , 
,,,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-black-1-x-12-self-fusing-silicone-tape,,, ,"Home›Black Self-Fusing Silicone Tape›Black 1"" x 12' Self-Fusing Silicone Tape", ,"Black 1"" x 12' Self-Fusing Silicone Tape", , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-bonding tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.Black1"" wide x 12' long at 0.02"" thicknessImpervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/black-1x12-er-silicone-tape-no-packaging_1024x1024.jpg?v=1459184318, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$14.95 , , , ,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-black-1-x-12-self-fusing-silicone-tape, , 
,,,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-black-1-x-36-self-fusing-silicone-tape,,, ,"Home›Black Self-Fusing Silicone Tape›Black 1"" x 36' Self-Fusing Silicone Tape", ,"Black 1"" x 36' Self-Fusing Silicone Tape", , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-bonding tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.Black1"" wide x 36' long at 0.02"" thicknessImpervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/black-1x12-er-silicone-tape-no-packaging_6bdf32f6-876f-48e7-b272-38a90675df7c_1024x1024.jpg?v=1459184610, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$13.95 , , , ,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-black-1-x-36-self-fusing-silicone-tape, , 
,,,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-5-lbs-of-assorted-rolls-of-silicone-tape,,, ,Home›Black Self-Fusing Silicone Tape›5 Lbs. of Assorted Rolls of Silicone Tape, ,5 Lbs. of Assorted Rolls of Silicone Tape, , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-fusing tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.This is a 5 lbs. assortment of ER Tape in various colors, widths, lengths, and thickness.Impervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/5lbs-assortment-of-er-tape_1024x1024.jpg?v=1459183408, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$39.95 , , , ,https://www.ertape.com/collections/black-self-fusing-silicone-tape/products/er-tape-5-lbs-of-assorted-rolls-of-silicone-tape, , 
,,,https://www.ertape.com/collections/blue-self-sealing-silicone-tape/products/er-tape-5-lbs-of-assorted-rolls-of-silicone-tape,,, ,Home›Blue Self-Sealing Silicone Tape›5 Lbs. of Assorted Rolls of Silicone Tape, ,5 Lbs. of Assorted Rolls of Silicone Tape, , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-fusing tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.This is a 5 lbs. assortment of ER Tape in various colors, widths, lengths, and thickness.Impervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/5lbs-assortment-of-er-tape_1024x1024.jpg?v=1459183408, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$39.95 , , , ,https://www.ertape.com/collections/blue-self-sealing-silicone-tape/products/er-tape-5-lbs-of-assorted-rolls-of-silicone-tape, , 
,,,https://www.ertape.com/collections/blue-self-sealing-silicone-tape/products/er-tape-blue-1-x-12-self-fusing-silicone-tape,,, ,"Home›Blue Self-Sealing Silicone Tape›Blue 1"" x 12' Self-Fusing Silicone Tape", ,"Blue 1"" x 12' Self-Fusing Silicone Tape", , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-bonding tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.Blue1"" wide x 12' long at 0.02"" thicknessImpervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/blue-1x12-er-self-amalgamating-silicone-tape-no-packaging_1024x1024.jpg?v=1459190152, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$14.95 , , , ,https://www.ertape.com/collections/blue-self-sealing-silicone-tape/products/er-tape-blue-1-x-12-self-fusing-silicone-tape, , 
,,,https://www.ertape.com/collections/blue-self-sealing-silicone-tape/products/er-tape-blue-1-x-36-self-fusing-silicone-tape,,, ,"Home›Blue Self-Sealing Silicone Tape›Blue 1"" x 36' Self-Fusing Silicone Tape", ,"Blue 1"" x 36' Self-Fusing Silicone Tape", , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-bonding tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.Blue1"" wide x 36' long at 0.02"" thicknessImpervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/blue-1x12-er-self-amalgamating-silicone-tape-no-packaging_1ce7d853-efcd-4a9c-8296-22a671174ebd_1024x1024.jpg?v=1459190644, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$13.95 , , , ,https://www.ertape.com/collections/blue-self-sealing-silicone-tape/products/er-tape-blue-1-x-36-self-fusing-silicone-tape, , 
,,,https://www.ertape.com/collections/clear-silicone-rubber-tape/products/er-tape-clear-1-x-12-self-fusing-silicone-tape,,, ,"Home›Clear Silicone Rubber Tape›Clear 1"" x 12' Self-Fusing Silicone Tape", ,"Clear 1"" x 12' Self-Fusing Silicone Tape", , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-fusing tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.Clear1"" wide x 12' long at 0.02"" thicknessImpervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/clear-er-tape-1x12-no-packaging_1024x1024.JPG?v=1460135076, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$14.95 , , , ,https://www.ertape.com/collections/clear-silicone-rubber-tape/products/er-tape-clear-1-x-12-self-fusing-silicone-tape, , 
,,,https://www.ertape.com/collections/clear-silicone-rubber-tape/products/er-tape-clear-1-x-36-self-bonding-silicone-tape,,, ,"Home›Clear Silicone Rubber Tape›Clear 1"" x 36' Self-Bonding Silicone Tape", ,"Clear 1"" x 36' Self-Bonding Silicone Tape", , , , , , , ,"ER Emergency Repair Tape was originally designed for the US Military, and is now used in multiple applications including plumbing, electrical, automotive, marine, and industrial use. ER Tape is a self-fusing tape made from silicone rubber that requires no sticky adhesives and creates a permanent water-tight, air-tight, high-pressure seal.Clear1"" wide x 36' long at 0.02"" thicknessImpervious to most fuels, oils, acids, solvents, salt water, and UV raysWithstands extreme temperatures from -40°C to 200°CSticks to itself without adhesives - can even be applied underwaterTensile strength of 700 psiInsulates up to 8,000 volts per layerProudly made in the USA", , , , , ,https://www.ertape.com/cdn/shop/products/clear-1x36-er-self-fusing-silicone-tape-with-packaging_1024x1024.jpg?v=1459181993, , , , ,,https://www.youtube.com/embed/udz_ksLivno, , , , , , ,,$13.95 , , , ,https://www.ertape.com/collections/clear-silicone-rubber-tape/products/er-tape-clear-1-x-36-self-bonding-silicone-tape, , 
